Date,Open,High,Low,Close,Adj Close,Volume
2018-06-19,377.450012,380.000000,364.000000,365.750000,363.959167,10960
2018-06-20,361.200012,373.850006,355.250000,358.750000,356.993439,11687
2018-06-21,359.700012,364.000000,348.000000,351.850006,350.127228,6147
2018-06-22,347.049988,363.899994,347.049988,355.450012,353.709595,7121
2018-06-25,351.000000,353.649994,341.549988,348.950012,347.241425,11328
2018-06-26,348.950012,348.950012,334.250000,335.799988,334.155792,16735
2018-06-27,339.000000,339.950012,328.049988,331.450012,329.827118,9043
2018-06-28,331.899994,339.000000,326.649994,335.299988,333.658234,18741
2018-06-29,334.500000,353.950012,332.850006,352.149994,350.425751,13061
2018-07-02,352.049988,354.950012,347.000000,352.049988,350.326233,4699
2018-07-03,343.000000,354.500000,343.000000,352.399994,350.674530,4308
2018-07-04,357.500000,357.500000,343.500000,345.100006,343.410278,10021
2018-07-05,346.000000,348.500000,338.000000,346.299988,344.604370,12521
2018-07-06,345.000000,345.200012,336.000000,342.100006,340.424957,10438
2018-07-09,340.100006,367.000000,340.100006,353.950012,352.216949,32972
2018-07-10,355.000000,368.000000,351.000000,361.450012,359.680237,22596
2018-07-11,357.750000,375.600006,354.000000,374.350006,372.517059,25384
2018-07-12,375.000000,379.450012,364.649994,367.450012,365.650848,10416
2018-07-13,368.200012,368.200012,357.000000,359.549988,357.789520,3207
2018-07-16,355.000000,358.100006,352.000000,354.250000,352.515472,7373
2018-07-17,355.000000,362.000000,349.700012,359.350006,357.590515,5374
2018-07-18,362.950012,385.000000,360.500000,360.700012,358.933899,14428
2018-07-19,361.600006,366.649994,358.000000,360.600006,358.834381,5715
2018-07-20,360.700012,363.700012,356.000000,362.149994,360.376770,4953
2018-07-23,363.000000,366.000000,359.049988,360.399994,358.635345,3045
2018-07-24,359.799988,367.500000,359.799988,365.149994,363.362091,5710
2018-07-25,365.700012,370.000000,349.750000,359.700012,357.938812,6832
2018-07-26,356.950012,362.649994,356.000000,359.799988,358.038269,2567
2018-07-27,360.000000,361.899994,354.049988,358.899994,357.142700,5018
2018-07-30,358.850006,369.000000,358.850006,360.700012,358.933899,7222
2018-07-31,363.000000,367.149994,363.000000,364.950012,363.163086,4072
2018-08-01,363.799988,366.450012,357.350006,358.100006,356.346619,5218
2018-08-02,359.000000,361.649994,357.399994,358.100006,356.346619,3182
2018-08-03,359.200012,362.200012,348.600006,349.850006,348.137024,14520
2018-08-06,349.000000,355.899994,347.000000,351.299988,349.579895,49806
2018-08-07,351.700012,355.799988,351.700012,354.000000,352.266693,5193
2018-08-08,354.750000,360.799988,351.000000,355.649994,353.908600,13163
2018-08-09,349.200012,366.000000,347.000000,356.750000,355.003235,32265
2018-08-10,355.049988,355.049988,347.250000,349.450012,347.738983,11653
2018-08-13,347.000000,349.049988,343.000000,344.950012,343.261017,4448
2018-08-14,348.299988,348.299988,336.600006,339.500000,337.837677,6639
2018-08-16,340.000000,340.000000,330.299988,331.750000,330.125641,16412
2018-08-17,334.950012,335.049988,322.799988,324.500000,322.911133,9242
2018-08-20,325.000000,330.700012,322.600006,324.450012,322.861389,8747
2018-08-21,326.600006,327.000000,321.000000,321.899994,320.323853,9244
2018-08-23,322.549988,325.600006,319.000000,320.200012,318.632202,8284
2018-08-24,318.399994,332.000000,318.000000,325.850006,324.254547,20587
2018-08-27,326.950012,330.000000,318.000000,323.250000,321.667267,17747
2018-08-28,324.649994,330.000000,315.500000,318.450012,316.890778,28992
2018-08-29,316.549988,327.899994,316.549988,320.000000,318.433167,10086
2018-08-30,321.700012,323.149994,310.000000,311.850006,310.323090,24656
2018-08-31,312.000000,325.500000,307.149994,322.049988,320.473114,34320
2018-09-03,321.799988,337.000000,316.000000,319.350006,317.786346,15823
2018-09-04,320.000000,324.299988,311.500000,313.799988,312.263519,6049
2018-09-05,314.049988,317.000000,308.799988,314.700012,313.159119,9846
2018-09-06,315.250000,316.750000,309.350006,310.850006,309.327972,6297
2018-09-07,310.049988,314.049988,306.500000,308.299988,306.790436,5480
2018-09-10,308.000000,313.549988,306.500000,308.549988,307.039215,5355
2018-09-11,308.549988,311.899994,305.000000,306.100006,304.601227,5149
2018-09-12,308.950012,309.149994,299.000000,305.000000,303.506622,11000
2018-09-14,308.049988,310.000000,305.000000,306.350006,304.850006,2997
2018-09-17,306.799988,306.799988,298.049988,301.049988,301.049988,15443
2018-09-18,300.149994,303.049988,298.000000,299.600006,299.600006,2859
2018-09-19,300.049988,300.350006,288.049988,290.549988,290.549988,11019
2018-09-21,290.600006,294.850006,286.000000,288.350006,288.350006,20910
2018-09-24,290.000000,292.049988,255.000000,286.950012,286.950012,22405
2018-09-25,285.000000,288.000000,264.049988,270.799988,270.799988,25996
2018-09-26,268.299988,271.950012,262.000000,263.899994,263.899994,6362
2018-09-27,265.000000,266.450012,253.649994,261.000000,261.000000,12169
2018-09-28,260.000000,264.750000,240.500000,260.000000,260.000000,66642
2018-10-01,256.700012,258.350006,246.600006,250.149994,250.149994,8051
2018-10-03,244.600006,260.000000,244.600006,254.750000,254.750000,12565
2018-10-04,251.050003,256.950012,230.000000,234.750000,234.750000,55167
2018-10-05,237.050003,237.050003,210.000000,215.100006,215.100006,29253
2018-10-08,215.000000,217.250000,182.000000,195.350006,195.350006,24590
2018-10-09,194.949997,199.699997,191.000000,194.600006,194.600006,9696
2018-10-10,196.350006,203.949997,194.949997,200.050003,200.050003,16099
2018-10-11,195.000000,218.000000,185.000000,203.800003,203.800003,21335
2018-10-12,209.000000,215.800003,201.000000,203.850006,203.850006,11421
2018-10-15,203.500000,216.000000,202.500000,209.500000,209.500000,10101
2018-10-16,206.300003,215.000000,206.300003,209.449997,209.449997,7157
2018-10-17,210.350006,219.050003,207.000000,209.399994,209.399994,19628
2018-10-19,211.449997,214.750000,208.000000,209.600006,209.600006,4998
2018-10-22,210.250000,210.250000,200.000000,200.449997,200.449997,2675
2018-10-23,204.000000,204.000000,190.000000,193.649994,193.649994,6078
2018-10-24,200.000000,200.000000,188.449997,189.500000,189.500000,10006
2018-10-25,183.500000,208.399994,183.500000,189.850006,189.850006,9739
2018-10-26,191.600006,197.600006,187.000000,194.350006,194.350006,9860
2018-10-29,192.449997,195.050003,191.649994,193.199997,193.199997,8545
2018-10-30,199.500000,199.500000,190.550003,191.949997,191.949997,8274
2018-10-31,192.100006,193.199997,190.100006,192.050003,192.050003,7729
2018-11-01,193.949997,201.399994,193.899994,197.649994,197.649994,8690
2018-11-02,199.550003,203.000000,196.949997,198.300003,198.300003,9454
2018-11-05,195.000000,205.000000,195.000000,203.649994,203.649994,7338
2018-11-06,201.050003,202.000000,196.500000,198.149994,198.149994,7670
2018-11-07,197.000000,202.949997,196.000000,200.100006,200.100006,1059
2018-11-09,200.100006,205.449997,200.100006,202.449997,202.449997,7124
2018-11-12,202.500000,205.000000,200.399994,202.850006,202.850006,6664
2018-11-13,205.000000,218.000000,201.050003,214.300003,214.300003,24956
2018-11-14,215.899994,221.000000,213.199997,218.250000,218.250000,24671
2018-11-15,220.000000,233.300003,217.550003,227.199997,227.199997,15426
2018-11-16,229.750000,239.050003,225.899994,235.399994,235.399994,18680
2018-11-19,236.850006,240.000000,230.699997,232.100006,232.100006,13021
2018-11-20,231.000000,232.000000,229.800003,231.250000,231.250000,6484
2018-11-21,229.250000,235.000000,227.000000,234.600006,234.600006,8255
2018-11-22,240.000000,240.000000,232.000000,233.949997,233.949997,6679
2018-11-26,239.000000,239.000000,230.250000,233.000000,233.000000,3652
2018-11-27,230.000000,235.949997,230.000000,234.000000,234.000000,4178
2018-11-28,232.350006,234.100006,231.300003,232.199997,232.199997,5319
2018-11-29,232.199997,235.000000,223.000000,226.399994,226.399994,3378
2018-11-30,229.399994,230.000000,225.399994,226.600006,226.600006,2751
2018-12-03,229.949997,230.000000,216.350006,221.250000,221.250000,6324
2018-12-04,221.100006,233.850006,216.300003,229.949997,229.949997,7999
2018-12-05,227.949997,230.000000,222.000000,223.100006,223.100006,7624
2018-12-06,224.850006,232.000000,221.949997,224.050003,224.050003,19259
2018-12-07,224.600006,238.000000,224.050003,234.500000,234.500000,15530
2018-12-10,234.500000,234.500000,224.850006,225.050003,225.050003,5542
